Ana Kamera FlaÅŸ,Ana Kamera Flaş,Ana Kamera Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k AralÄ±ÄŸÄ±,Ana Kamera Çözünürlük Aralığı,Arka Kamera SayÄ±sÄ±,Arka Kamera Sayısı,ArttÄ±rÄ±labilir HafÄ±za (HafÄ±za KartÄ± DesteÄŸi),Arttırılabilir Hafıza (Hafıza Kartı Desteği),Ağırlık,Batarya Kapasitesi AralÄ±ÄŸÄ±,Batarya Kapasitesi Aralığı,BaÄŸlantÄ±lar,Bağlantılar,Bluetooth,CPU AralÄ±k,CPU Aralık,Cep Telefonu Modeli,Dahili HafÄ±za,Dahili Hafıza,Dokunmatik Ekran,Ekran Boyut AralÄ±ÄŸÄ±,Ekran Boyut Aralığı,Ekran Boyutu,Ekran Boyutu Aralığı,Ekran Cinsi,Ekran Teknolojisi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Ã‡Ã¶zÃ¼nÃ¼rlÃ¼ÄŸÃ¼,Ekran Çözünürlüğü,GPS,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,GÃ¶rÃ¼ntÃ¼ Teknolojisi,GÃ¶rÃ¼ntÃ¼lÃ¼ KonuÅŸma,Görüntü Teknolojisi,Görüntülü Konuşma,Kablosuz Åžarj,Kablosuz Şarj,Kamera Ã‡Ã¶zÃ¼nÃ¼rlÃ¼ÄŸÃ¼,Kamera Çözünürlüğü,Kozmetik Durum,KulaklÄ±k GiriÅŸi,Kulaklık Girişi,Mobil BaÄŸlantÄ± HÄ±zÄ±,Mobil Bağlantı Hızı,NFC,Parmak Ä°zi Okuyucu,Parmak İzi Okuyucu,Pil GÃ¼cÃ¼ (mAh),Pil Gücü (mAh),RAM Kapasitesi,Radio,Renk,Suya/Toza DayanÄ±klÄ±lÄ±k,Suya/Toza Dayanıklılık,Video KayÄ±t Ã‡Ã¶zÃ¼nÃ¼rlÃ¼ÄŸÃ¼,Video Kayıt Çözünürlüğü,YÃ¼z TanÄ±ma,Yüz Tanıma,Ã–n Kamera FlaÅŸ,Ã–n Kamera SayÄ±sÄ±,Ã–n Kamera Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k AralÄ±ÄŸÄ±,Ã–n Kamera Ã‡Ã¶zÃ¼nÃ¼rlÃ¼ÄŸÃ¼,Ã‡ift Hat,Ä°ÅŸlemci MarkasÄ±,Ä°ÅŸletim Sistemi,Åžarj GiriÅŸi,Åžarj HÄ±zÄ±,Çift Hat,Ön Kamera Flaş,Ön Kamera Sayısı,Ön Kamera Çözünürlük Aralığı,Ön Kamera Çözünürlüğü,İşlemci Markası,İşletim Sistemi,Şarj Girişi,Şarj Hızı,url,price,brands
,Var,,40 - 60 MP,,3,,Var,,,3000-3500 mAh,,Wi-Fi,Var,,2.5-3.2 GHz,iPhone 15 Pro,,256 GB,Var,,6'' - 6.5'',"6,1 inç",,OLED,QLED,,60 Hz,,QHD+,Var,,2 Yıl,Apple Türkiye Garantili,,,OLED,Var,,Yok,,20 MP ve üstü,,,USB Type-C,,5G,Var,,Var,,3000 - 4000,8 GB,Yok,Çok Renkli,,Var,,4320p (Ultra HD) 8K,,Var,,,,,,,,,,Var,Yok,1,40 - 60 MP,12 MP,Apple,iOS,USB Type-C,60-80 W,https://www.trendyol.com//apple/iphone-15-pro-256-gb-naturel-titanyum-p-762254830,71.999 TL,Apple
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//tecno/pova-neo-2-6-128-magma-turuncu-cep-telefonu-p-449519065,5.816 TL,Tecno
,,,100 -120 MP,,1,,Var,,,4500-5000 mAh,,,,,,,,256 GB,Var,,7'' Üstü,"4 - 4,5 inç",,AMOLED,Dinamik AMOLED,,,,,Var,,2 Yıl,Resmi Distribütör Garantili,,,,,,,,5 MP ve altı,,,USB Type-C,,4.5G,Var,,,,1500 ve altı,8 GB,,Beyaz,,Var,,,,,,,,,,,,,,Var,,1,10 - 15 MP,,,Android,USB Type-C,,https://www.trendyol.com//samsung/galaxy-note20-ultra-256-gb-beyaz-cep-telefonu-samsung-turkiye-garantili-p-218265101,44.500 TL,Samsung
,Var,,40 - 60 MP,,3,,Yok,,,4000-4500 mAh,,Wi-Fi,Var,,2.5-3.2 GHz,iPhone 15 Pro Max,,256 GB,Var,,6.5'' - 7'',"6,7 inç",,FHD Süper AMOLED,Dinamik AMOLED,,144 Hz üstü,,QHD+,Var,,2 Yıl,Apple Türkiye Garantili,,,SXRD,Var,,Var,,20 MP ve üstü,,,USB Type-C,,5G,Var,,Yok,,4000 - 5000,8 GB,Yok,Siyah,,Var,,2160p (Ultra HD) 4K,,Var,,,,,,,,,,Var,Var,1,40 - 60 MP,12 MP,Apple,iOS,USB Type-C,20-40 W,https://www.trendyol.com//apple/iphone-15-pro-max-256-gb-siyah-titanyum-p-762254852,81.999 TL,Apple
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//xiaomi/redmi-10-2022-128-gb-4-gb-ram-deniz-mavisi-cep-telefonu-xiaomi-turkiye-garantili-p-242166086,6.248 TL,Xiaomi
,,,12 MP,,,,,,,,,,,,,,,128 GB,,,,6 inç ve üstü,,,,,,,,,,1 Yıl,,,,,,,,,,A seviye-Mükemmel,,,,,,,,,,4 GB,,Mavi,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//apple/yenilenmis-iphone-12-pro-max-128-gb-pasifik-mavisi-128-gb-pasifik-mavisi-a-grade-p-689223632,47.549 TL,Apple
,Var,,10 - 15 MP,,2,,Yok,,,2000-3000 mAh,,Wi-Fi,Var,,2.5-3.2 GHz,iPhone 12,,128 GB,Var,,6'' - 6.5'',"6,1 inç",,OLED,FHD+,,60 Hz,,FHD+,Var,,2 Yıl,Apple Türkiye Garantili,,,OLED,Var,,Var,,10 - 15 MP,,,Lightning,,4.5G,Var,,Yok,,2815,4 GB,Yok,Yeşil,,Var,,2160p (Ultra HD) 4K,,Var,,,,,,,,,,Yok,Yok,1,10 - 15 MP,8 - 14 MP,Apple,iOS,Lightning,10-20 W,https://www.trendyol.com//apple/iphone-12-128-gb-yesil-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-63973244,28.299 TL,Apple
,Var,,40 - 60 MP,,3,,Var,,,3000-3500 mAh,,Wi-Fi,Var,,2.5-3.2 GHz,iPhone 15 Pro,,128 GB,Var,,6'' - 6.5'',"6,1 inç",,OLED,QLED,,60 Hz,,QHD+,Var,,2 Yıl,Apple Türkiye Garantili,,,OLED,Var,,Yok,,20 MP ve üstü,,,USB Type-C,,5G,Var,,Var,,3000 - 4000,8 GB,Yok,Çok Renkli,,Var,,4320p (Ultra HD) 8K,,Var,,,,,,,,,,Var,Yok,1,40 - 60 MP,12 MP,Apple,iOS,USB Type-C,60-80 W,https://www.trendyol.com//apple/iphone-15-pro-128-gb-naturel-titanyum-p-762254869,68.999 TL,Apple
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//apple/yenilenmis-iphone-6s-16-gb-altin-cep-telefonu-12-ay-garantili-p-117138318,2.299 TL,Apple
Var,,10 - 15 MP,,2,,Yok,,,3000-3500 mAh,,Wi-Fi,,Var,2.5-3.2 GHz,,iPhone 13,256 GB,,Var,6'' - 6.5'',,"6,1 inÃ§",,OLED,QLED,60 Hz,,FHD+,,Var,2 YÄ±l,,Apple TÃ¼rkiye Garantili,OLED,Var,,,Var,,12 MP + 12 MP,,,Lightning,,5G,,Var,Var,,3095,,4 GB,Yok,KÄ±rmÄ±zÄ±,Var,,1080p (Full HD),,Var,,Yok,1,10 - 15 MP,12 MP,Yok,Apple,iOS,Lightning,10-20 W,,,,,,,,,,https://www.trendyol.com//apple/iphone-13-256-gb-kirmizi-cep-telefonu-apple-turkiye-garantili-p-153580407,41.089 TL,Apple
,Var,,80 - 100 MP,,3,,Var,,,5000-6000 mAh,,Wi-Fi,Var,,2.5-3.2 GHz,Galaxy S20,,128 GB,Var,,6'' - 6.5'',"6,5 inç",,FHD Süper AMOLED,QLED,,120 Hz,,FHD+,Var,,2 Yıl,Resmi Distribütör Garantili,,,AMOLED,Var,,Var,,12 MP + 12 MP + 8 MP,,,USB Type-C,,4.5G,Var,,Var,,4500,6 GB,Yok,Beyaz,,Var,,2160p (Ultra HD) 4K,,Var,,,,,,,,,,Var,Var,1,20 - 40 MP,32 MP,Samsung,Android,USB Type-C,20-40 W,https://www.trendyol.com//samsung/galaxy-s20-fe-128gb-cloud-white-snapdragon-p-253773349,13.099 TL,Samsung
,,40 - 60 MP,,3,,,,,5000-6000 mAh,,,,,,,Redmi Note 12,128 GB,,Var,6.5'' - 7'',,"6,7 inÃ§",,,,,,,,,2 YÄ±l,,Xiaomi TÃ¼rkiye Garantili,,,,,,,20 MP ve Ã¼stÃ¼,,,USB Type-C,,5G,,Var,,,5000 ve Ã¼stÃ¼,,6 GB,,Mavi,Yok,,,,,,,1,10 - 15 MP,,Var,,Android,USB Type-C,,,,,,,,,,,https://www.trendyol.com//xiaomi/redmi-note-12-128-gb-6-gb-ram-mavi-cep-telefonu-xiaomi-turkiye-garantili-p-688050328,8.569 TL,Xiaomi
,Var,,20 - 40 MP,,3,,Var,,,4500-5000 mAh,,USB,Var,,0.5-1.0 GHz,Honor 9,,512 GB,Var,,6'' - 6.5'',"6,7 inç",,AMOLED,Dinamik AMOLED,,120 Hz,,FHD+,Yok,,2 Yıl,Honor Türkiye Garantili,,,AMOLED,Var,,Yok,,200 MP + 8 MP + 2 MP,,,USB Type-C,,5G,Var,,Var,,5000,12 GB,Var,Yeşil,,Yok,,1080p (Full HD),,Var,,,,,,,,,,Var,Yok,1,40 - 60 MP,40 - 60 MP,MediaTek,Android,USB Type-C,80-100 W,https://www.trendyol.com//honor/90-512-gb-12-gb-ram-cep-telefonu-honor-turkiye-garantili-p-757201284,16.499 TL,Honor
,Var,,5 - 10 MP,,1,,Yok,,,4500-5000 mAh,,,,,,,,128 GB,Var,,6.5'' - 7'',6 inç ve üstü,,LCD,FHD+,,,,,Var,,2 Yıl,Resmi Distribütör Garantili,,,,Var,,,,5 - 10 MP,,,USB Type-C,,4G,Yok,,Var,,3000 - 4000,8 GB,,Beyaz,,Yok,,2160p (Ultra HD) 4K,,Var,,,,,,,,,,Yok,Var,1,5 - 10 MP,8 - 14 MP,MediaTek,Android,USB Type-C,,https://www.trendyol.com//general-mobile/gm-22-pro-128-gb-8-gb-ram-beyaz-cep-telefonu-p-232779034,7.410 TL,General Mobile
,,,60 - 80 MP,,2,,,,,4000-4500 mAh,,,,,,,,128 GB,Var,,6.5'' - 7'',7 inç,,,,,,,,,,2 Yıl,Reeder Türkiye Garantili,,,,,,,,15 - 20 MP,,,USB Type-C,,5G,Var,,,,20000 ve üzeri,8 GB,,Mor,,Yok,,,,,,,,,,,,,,Var,,1,15 - 20 MP,,,Android,USB Type-C,,https://www.trendyol.com//reeder/s19-max-pro-s-8gb-128-gb-mor-cep-telefonu-reeder-turkiye-garantili-p-686788998,4.695 TL,Reeder
,Var,,5 - 10 MP,,3,,Var,,,3500-4000 mAh,,3.5 mm Jack,Var,,,P13 Blue Max Lite,,32 GB,Var,,6'' - 6.5'',"4 - 4,5 inç",,IPS LCD,FHD+,,60 Hz,,FHD+,Var,,2 Yıl,Resmi Distribütör Garantili,,,AMOLED,Var,,Yok,,5 MP ve altı,,,3.5 mm,,4.5G,Yok,,Var,,1500 ve altı,2 GB,Yok,Siyah,,Yok,,1080p (Full HD),,Var,,,,,,,,,,Var,Yok,1,5 - 10 MP,5 - 8 MP,Samsung,Android,USB Type-C,60-80 W,https://www.trendyol.com//reeder/p13-blue-max-lite-2022-32-gb-2-gb-ram-siyah-cep-telefonu-reeder-turkiye-garantili-p-277083300,2.227 TL,Reeder
,,120 MP ve Ã¼stÃ¼,,2,,,,,5000-6000 mAh,,,,,,,,256 GB,,Var,6.5'' - 7'',,"4 - 4,5 inÃ§",,,,,,,,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,,,,,,,5 MP ve altÄ±,,,USB Type-C,,5G,,Var,,,1500Â ve altÄ±,,12 GB,,Mavi,Yok,,,,,,,1,20 - 40 MP,,Var,,Android,USB Type-C,,,,,,,,,,,https://www.trendyol.com//realme/10-pro-12gb-256-gb-bulutsu-mavi-p-681121523,13.699 TL,realme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//apple/iphone-14-pro-max-128-gb-derin-mor-p-355707149,81.999 TL,Apple
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//samsung/galaxy-a04e-128-gb-mavi-cep-telefonu-samsung-turkiye-garantili-p-452411913,"5.798,90 TL",Samsung
,,,40 - 60 MP,,4,,,,,5000-6000 mAh,,,,,,,,128 GB,Var,,6.5'' - 7'',"6,7 inç",,,,,,,,,,2 Yıl,Resmi Distribütör Garantili,,,,,,,,20 MP ve üstü,,,USB Type-C,,4.5G,Var,,,,5000 ve üstü,8 GB,,Mavi,,Yok,,,,,,,,,,,,,,Var,,1,15 - 20 MP,,,Android,USB Type-C,,https://www.trendyol.com//infinix/note-30-x6833b-128-gb-8gb-ram-cep-telefonu-p-739633959,8.999 TL,INFINIX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//vivo/v25-5g-256-gb-8-gb-ram-siyah-cep-telefonu-vivo-turkiye-garantili-p-411907865,11.499 TL,vivo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//huawei/huawei-nova-9-8gb-128-gb-siyah-p-193850365,11.899 TL,Huawei
,,,,,1,,Yok,,,,,,,,,,,64 GB,Var,,,,"4.5""-5""",LCD,HD+,,,,,,,,,,,,,,,,,,,Lightning,,4.5G,Var,,,,,2 GB,,Altın,,Var,,,,,,,,,,,,,,Yok,,1,5 - 10 MP,5 - 8 MP,,,Lightning,,https://www.trendyol.com//apple/yenilenmis-iphone-8-64-gb-altin-cep-telefonu-12-ay-garantili-p-117585986,6.730 TL,Apple
,,,15 - 20 MP,,1,,Yok,,,4500-5000 mAh,,,,,,Galaxy S22 Ultra,,256 GB,Var,,7'' Üstü,"6,8 inç",,Super AMOLED,QHD+,,,,,Var,,2 Yıl,Samsung TR Garantili,,,,,,,,108 MP + 10 MP + 12 MP + 10 MP,,,3.5 mm,,4.5G,Var,,,,5000,12 GB,,Bordo,,Var,,,,,,,,,,,,,,Var,,1,15 - 20 MP,,,Android,USB Type-C,,https://www.trendyol.com//samsung/galaxy-s22-ultra-256-gb-5g-12-gb-ram-bordo-cep-telefonu-samsung-turkiye-garantili-p-252449909,36.999 TL,Samsung
,,,12 MP,,,,,,,,,,,,,,,64 GB,,,,"5,5 - 6 inç",,,,,,,,,,1 Yıl,,,,,,,,,,A seviye-Mükemmel,,,,,,,,,,4 GB,,Altın,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//apple/yenilenmis-iphone-11-pro-64gb-gold-a-kalite-p-772225987,24.399 TL,Apple
,Var,,40 - 60 MP,,3,,,,,4500-5000 mAh,,,Var,,,,,256 GB,Var,,6'' - 6.5'',6 inç ve üstü,,AMOLED,FHD+,,,,FHD+,Var,,2 Yıl,Resmi Distribütör Garantili,,,,,,Var,,20 MP ve üstü,,,USB Type-C,,4.5G,Var,,Var,,3000 - 7900,8 GB,,Mor,,Yok,,,,Var,,,,,,,,,,Var,,1,10 - 15 MP,8 MP ve üstü,Qualcomm,Android,USB Type-C,20-40 W,https://www.trendyol.com//samsung/galaxy-s23-fe-256-gb-mor-cep-telefonu-samsung-turkiye-garantili-p-767487801,23.749 TL,Samsung
,Var,,60 - 80 MP,,4,,Var,,,4500-5000 mAh,,Bluetooth,Var,,1.5-2.0 GHz,,,128 GB,Var,,6'' - 6.5'',6 inç ve üstü,,AMOLED,FHD+,,90 Hz,,FHD+,Var,,2 Yıl,Samsung TR Garantili,,,AMOLED,Var,,Yok,,20 MP ve üstü,,,3.5 mm,,4.5G,Var,,Var,,4000 - 5000,6 GB,Var,Mor,,Yok,,1080p (Full HD),,Var,,,,,,,,,,Var,Yok,1,15 - 20 MP,20 - 40 MP,Samsung,Android,USB Type-C,10-20 W,https://www.trendyol.com//samsung/galaxy-a32-128-gb-lavanta-cep-telefonu-samsung-turkiye-garantili-p-102207092,11.190 TL,Samsung
,Var,,40 - 60 MP,,3,,Var,,,4500-5000 mAh,,Wi-Fi,Var,,2.5-3.2 GHz,Galaxy A04s,,128 GB,Var,,6'' - 6.5'',"4 - 4,5 inç",,FHD Süper AMOLED,FHD+,,90 Hz,,FHD+,Var,,2 Yıl,Resmi Distribütör Garantili,,,AMOLED,Var,,Var,,5 MP ve altı,,,3.5 mm,,4.5G,Var,,Var,,1500 ve altı,4 GB,Var,Beyaz,,Yok,,1080p (Full HD),,Var,,,,,,,,,,Var,Yok,1,5 - 10 MP,5 MP,Samsung,Android,USB Type-C,40-60 W,https://www.trendyol.com//samsung/galaxy-a04s-128-gb-beyaz-cep-telefonu-samsung-turkiye-garantili-p-358466697,6.360 TL,Samsung
,,,12 MP,,,,,,,,,,,,,,,32 GB,,,,"5,5 - 6 inç",,,,,,,,,,1 Yıl,,,,,,,,,,C seviye-İyi,,,,,,,,,,3 GB,,Siyah,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//apple/yenilenmis-iphone-7-plus-32gb-siyah-c-kalite-p-775821853,4.675 TL,Apple
,,,40 - 60 MP,,1,,Var,,,5000-6000 mAh,,,,,,Galaxy A73,,128 GB,Var,,7'' Üstü,"4 - 4,5 inç",,PLS,FHD,,,,,Var,,2 Yıl,Resmi Distribütör Garantili,,,,,,,,5 MP ve altı,,,3.5 mm,,5G,Yok,,,,1500 ve altı,8 GB,,Yeşil,,Var,,,,,,,,,,,,,,Var,,1,5 - 10 MP,,Samsung,Android,USB Type-C,,https://www.trendyol.com//samsung/galaxy-a73-128-gb-yesil-cep-telefonu-samsung-turkiye-garantili-p-299700016,24.575 TL,Samsung
,Var,,10 - 15 MP,,3,,Var,,,5000-6000 mAh,,Wi-Fi,Var,,2.5-3.2 GHz,Galaxy A34,,256 GB,Var,,6.5'' - 7'',"6,6 inç",,AMOLED,FHD+,,120 Hz,,FHD+,Var,,2 Yıl,Samsung TR Garantili,,,,Var,,Var,,48MP + 8MP + 5MP + 2MP,,,USB Type-C,,5G,Var,,Var,,5000,8 GB,,Yeşil,,Yok,,2160p (Ultra HD) 4K,,Var,,,,,,,,,,Var,Var,1,20 - 40 MP,13 MP,MediaTek,Android,USB Type-C,20-40 W,https://www.trendyol.com//samsung/galaxy-a34-256-gb-8-gb-ram-acik-yesil-cep-telefonu-samsung-turkiye-garantili-p-752678508,12.399 TL,Samsung
,,,60 - 80 MP,,4,,Yok,,,5000-6000 mAh,,,Var,,,Galaxy A53,,128 GB,Var,,6.5'' - 7'',"6,5 inç",,Super AMOLED,QHD+,,120 Hz,,FHD+,Var,,2 Yıl,Samsung TR Garantili,,,AMOLED,Var,,Yok,,64 MP + 12 MP + 5 MP + 5 MP,,,USB Type-C,,5G,Var,,Var,,5000,8 GB,,Siyah,,Var,,,,Var,,,,,,,,,,Var,,1,20 - 40 MP,32 MP,Samsung,Android,USB Type-C,10-20 W,https://www.trendyol.com//samsung/galaxy-a53-128-gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-270618537,15.190 TL,Samsung
,,,60 - 80 MP,,,,,,,,,,,,,,,128 GB,,,,6 inç ve üstü,,,,,,,,,,1 Yıl,,,,,,,,,,B seviye-Çok İyi,,,,,,,,,,6 GB,,Gümüş,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//apple/yenilenmis-apple-iphone-13-pro-max-128-gb-gumus-cep-telefonu-b-kalite-p-779326941,59.749 TL,Apple
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//general-mobile/gm-phoneix-5g-dual-carbon-black-16gb-8gb-genisletilmis-ram-256gb-cep-telefonu-p-752381513,15.121 TL,General Mobile
,,,10 - 15 MP,,1,,Var,,,4500-5000 mAh,,Bluetooth,,,,,,32 GB,Var,,6'' - 6.5'',"4 - 4,5 inç",,LCD,HD+,,,,,,,2 Yıl,Realme Türkiye Garantili,,,,,,,,5 MP ve altı,,,3.5 mm,,4.5G,Yok,,,,4000 - 5000,2 GB,,Mavi,,Yok,,,,,,,,,,,,,,Var,,1,5 MP ve altı,,,Android,USB Type-C,,https://www.trendyol.com//realme/c11-2021-32-gb-mavi-cep-telefonu-realme-turkiye-garantili-p-180085037,"3.598,90 TL",realme
,Var,,40 - 60 MP,,3,,Yok,,,4000-4500 mAh,,Wi-Fi,Var,,2.5-3.2 GHz,iPhone 15 Pro Max,,256 GB,Var,,6.5'' - 7'',"6,7 inç",,FHD Süper AMOLED,Dinamik AMOLED,,144 Hz üstü,,QHD+,Var,,2 Yıl,Apple Türkiye Garantili,,,SXRD,Var,,Var,,20 MP ve üstü,,,USB Type-C,,5G,Var,,Yok,,4000 - 5000,8 GB,Yok,Beyaz,,Var,,2160p (Ultra HD) 4K,,Var,,,,,,,,,,Var,Var,1,40 - 60 MP,12 MP,Apple,iOS,USB Type-C,20-40 W,https://www.trendyol.com//apple/iphone-15-pro-max-256-gb-beyaz-titanyum-p-762254857,81.999 TL,Apple
,,,100 -120 MP,,4,,,,,5000-6000 mAh,,,,,,Redmi Note 10 Pro,,256 GB,Var,,6.5'' - 7'',"6,67 inç",,AMOLED,,,,,,,,2 Yıl,Xiaomi Türkiye Garantili,,,,,,,,108 MP + 8 MP + 5 MP + 2 MP,,,3.5 mm,,4.5G,Var,,,,5020,8 GB,,Gri,,Yok,,,,,,,,,,,,,,Var,,1,20 - 40 MP,16 MP,,Android,USB Type-C,,https://www.trendyol.com//xiaomi/redmi-note-10-pro-256-gb-8-gb-ram-gri-cep-telefonu-xiaomi-turkiye-garantili-p-409863733,11.599 TL,Xiaomi
,,,40 - 60 MP,,1,,,,,5000-6000 mAh,,,,,,,,256 GB,Var,,6.5'' - 7'',6 - 8 inç,,,,,,,,,,2 Yıl,Resmi Distribütör Garantili,,,,,,,,20 MP ve üstü,,,USB Type-C,,4G,Var,,,,5000 ve üstü,8 GB,,Beyaz,,Yok,,,,,,,,,,,,,,Var,,1,15 - 20 MP,,,Android,USB Type-C,,https://www.trendyol.com//realme/10-4g-8gb-256gb-beyaz-p-684278760,9.745 TL,realme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//infinix/hot-20-8-gb-ram-5-gb-sanal-ram-128gb-beyaz-cep-telefonu-turkiye-garantili-p-688325665,5.649 TL,INFINIX
,Var,,10 - 15 MP,,2,,Yok,,,4000-4500 mAh,,Wi-Fi,Var,,2.5-3.2 GHz,iPhone 14 Plus,,256 GB,Var,,6.5'' - 7'',"6,7 inç",,OLED,FHD,,60 Hz,,HD+,Var,,2 Yıl,Apple Türkiye Garantili,,,OLED,Var,,Yok,,10 - 15 MP,,,Lightning,,5G,Var,,Var,,4000 - 5000,6 GB,Yok,Mavi,,Var,,1080p (Full HD),,Var,,,,,,,,,,Var,Yok,1,10 - 15 MP,12 MP,Apple,iOS,Lightning,60-80 W,https://www.trendyol.com//apple/iphone-14-plus-256-gb-mavi-p-355707162,52.469 TL,Apple
,Var,,5 - 10 MP,,1,,Var,,,4500-5000 mAh,,Wi-Fi,Var,,2.0-2.5 GHz,POCO C40,,64 GB,Var,,6.5'' - 7'',6 inç ve üstü,,LCD,HD+,,60 Hz,,HD+,Var,,2 Yıl,Resmi Distribütör Garantili,,,LCD,Var,,Yok,,5 - 10 MP,,,USB Type-C,,4G,Yok,,Var,,3000 - 4000,4 GB,Yok,Siyah,,Yok,,1080p (Full HD),,Var,,,,,,,,,,Var,Yok,1,5 - 10 MP,5 MP,Yok,Android,USB Type-C,10-20 W,https://www.trendyol.com//poco/c40-64-gb-4-gb-ram-siyah-cep-telefonu-xiaomi-turkiye-garantili-p-315921362,5.249 TL,POCO
,,,40 - 60 MP,,3,,,,,4500-5000 mAh,,,,,,Galaxy M13,,128 GB,Var,,6.5'' - 7'',7 inç,,,,,,,FHD+,,,2 Yıl,Samsung TR Garantili,,,LCD,Var,,,,20 MP ve üstü,,,3.5 mm,,4.5G,Yok,,Var,,1500 ve altı,4 GB,,Pembe,,Yok,,,,,,,,,,,,,,Var,,1,5 - 10 MP,14 - 20 MP,Samsung,Android,USB Type-C,,https://www.trendyol.com//samsung/galaxy-m13-128-gb-bakir-cep-telefonu-samsung-turkiye-garantili-p-322578009,6.640 TL,Samsung
,,,15 - 20 MP,,3,,,,,5000-6000 mAh,,,,,,,,256 GB,Var,,6.5'' - 7'',"6,6 inç",,,,,,,,,,2 Yıl,Samsung TR Garantili,,,,,,,,48MP + 8MP + 5MP + 2MP,,,USB Type-C,,5G,Yok,,,,5000,8 GB,,Yeşil,,Yok,,,,,,,,,,,,,,Yok,,1,15 - 20 MP,,,Android,USB Type-C,,https://www.trendyol.com//samsung/galaxy-s23-ultra-256-gb-yesil-cep-telefonu-samsung-turkiye-garantili-p-635097872,49.399 TL,Samsung
,,,10 - 15 MP,,1,,Yok,,,,,,,,,,,32 GB,Var,,,"4,5 - 5 inç","4.5""-5""",LCD,HD+,,,,,,,2 Yıl,,,,,,,,,,A seviye-Mükemmel,,Lightning,,4.5G,Yok,,,,,2 GB,,Altın,,Var,,,,,,,,,,,,,,Yok,,1,5 - 10 MP,5 - 8 MP,,,Lightning,,https://www.trendyol.com//apple/yenilenmis-iphone-7-32-gb-altin-cep-telefonu-12-ay-garantili-a-kalite-p-117138524,3.599 TL,Apple
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//samsung/galaxy-s22-128-gb-5g-yesil-cep-telefonu-samsung-turkiye-garantili-p-256122146,22.235 TL,Samsung
,,,5 - 10 MP,,1,,,,,4500-5000 mAh,,,,,,POCO X5,,256 GB,Var,,6.5'' - 7'',6 inç ve üstü,,,,,,,,,,2 Yıl,Resmi Distribütör Garantili,,,,,,,,5 - 10 MP,,,USB Type-C,,5G,Yok,,,,3000 - 4000,8 GB,,Siyah,,Yok,,,,,,,,,,,,,,Var,,1,5 - 10 MP,,,Android,USB Type-C,,https://www.trendyol.com//poco/x5-5g-256-gb-8-gb-ram-siyah-cep-telefonu-xiaomi-turkiye-garantili-p-646044854,11.770 TL,POCO
,,,60 - 80 MP,,,,,,,,,,,,,,,128 GB,,,,"6,4 inç",,,,,,,,,,1 Yıl,,,,,,,,,,A seviye-Mükemmel,,,,,,,,,,6 GB,,Mor,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//samsung/yenilenmis-samsung-galaxy-a32-128gb-mor-a-kalite-p-775554383,6.299 TL,Samsung
